accessionYear,artistGender,artistNationality,culture,department,isHighlight,isTimelineWork,objectEndDate,objectID,objectName
1979,"",American,"",The American Wing,false,false,1907,14,Coin
1937,"","","",The American Wing,false,false,1700,78,Andiron
1989,"",American,American,The American Wing,false,false,1814,108,Andiron
1968,"",French,American,The American Wing,false,false,1860,227,Armchair
1968,"","","",The American Wing,false,false,1830,292,Furniture hardware
1946,"","","",The American Wing,false,false,1890,366,Basket
1933,"",American,American,The American Wing,false,true,1711,416,Beaker
1901,"",American,American,The American Wing,false,false,1790,423,Beaker
1946,"",American,American,The American Wing,false,false,1900,2830,Cup
1946,"","",American,The American Wing,false,false,1870,540,Bitters bottle
1937,"","",American,The American Wing,false,false,1800,652,Bottle fragment
1937,"","",American,The American Wing,false,false,1800,653,Bottle fragment
1911,"","",Mexican,The American Wing,false,false,1830,672,Bowl
1946,"",American,American,The American Wing,false,false,1880,779,Bowl
1910,"","","Chinese, for American market",The American Wing,false,false,1790,856,Bowl
1910,"","","Chinese, for American market",The American Wing,false,false,1790,867,Bowl
1917,"","",Mexican,The American Wing,false,false,1845,895,Cup
1883,"","","",The American Wing,false,false,1883,903,Medallion
1883,"","","",The American Wing,false,false,1800,906,Box
1951,"","","",The American Wing,false,false,1900,3265,Dish
1910,"","","Chinese, for American market",The American Wing,false,false,1790,992,Bread plate
1934,"","",European,The American Wing,false,false,1787,1017,Bride box
1934,"","",American,The American Wing,false,false,1790,1054,Butter mold
1967,"",American,American,The American Wing,false,false,1900,1146,Candelabrum
1924,"","",British,The American Wing,false,false,1830,1235,Candlestick
1962,"",American,American,The American Wing,false,false,1860,1326,Candlestick
1930,"","","British, probably",The American Wing,false,false,1830,1373,Candlestick and shade
1942,"","",American,The American Wing,false,false,1820,3796,Footstool
1969,"",American,American,The American Wing,false,false,1825,1500,Celery vase
1910,"","",American,The American Wing,false,false,1790,1845,Side Chair
1965,"","",American,The American Wing,false,false,1820,1906,Side Chair
1950,"",American,American,The American Wing,false,false,1889,1919,Drawing
1910,"","","",The American Wing,false,false,1800,2066,Churn
1947,"","",American,The American Wing,false,false,1870,2105,Figure
1987,"",American,American,The American Wing,false,false,1845,2126,Urn
1934,"","",European,The American Wing,false,false,1799,4924,Mangle board
1946,"","","British, probably",The American Wing,false,false,1885,2617,Cream pot
1946,"","","",The American Wing,false,false,1900,2620,Cream pot
1950,"","","French, possibly",The American Wing,false,false,1780,2636,Cream pitcher
1933,"",American,American,The American Wing,false,false,1818,2724,Cream pot
1946,"",American,American,The American Wing,false,false,1886,2753,Cruet
1935,"","",Chinese,The American Wing,false,false,1790,2770,Cup
1982,"","","",The American Wing,false,false,1840,5435,Whale oil lamp
1932,"","",American,The American Wing,false,false,1830,5463,Whale oil lamp
1981,"","",American,The American Wing,false,false,1760,3438,Dressing Table
1941,"","","",The American Wing,false,false,1815,3591,Fender
