accessionYear,artistGender,artistNationality,culture,department,isHighlight,isTimelineWork,objectEndDate,objectID,objectName
1979,"",American,"",The American Wing,false,false,1907,14,Coin
1989,"",American,American,The American Wing,false,false,1814,108,Andiron
1946,"","","",The American Wing,false,false,1890,366,Basket
1946,"","",American,The American Wing,false,false,1870,540,Bitters bottle
1937,"","",American,The American Wing,false,false,1800,653,Bottle fragment
1946,"",American,American,The American Wing,false,false,1880,779,Bowl
1910,"","","Chinese, for American market",The American Wing,false,false,1790,856,Bowl
1910,"","","Chinese, for American market",The American Wing,false,false,1790,867,Bowl
1917,"","",Mexican,The American Wing,false,false,1845,895,Cup
1883,"","","",The American Wing,false,false,1800,906,Box
1973,"","",American,The American Wing,false,false,1896,2791,Cup
1910,"","","Chinese, for American market",The American Wing,false,false,1790,992,Bread plate
1934,"","",American,The American Wing,false,false,1790,1054,Butter mold
1965,"","",American,The American Wing,false,false,1820,1906,Side Chair
1950,"",American,American,The American Wing,false,false,1889,1919,Drawing
1910,"","","",The American Wing,false,false,1800,2066,Churn
1946,"","",American,The American Wing,false,false,1890,2687,Cream pot
1969,"",American,American,The American Wing,false,false,1885,4905,Luncheon plate
1946,"",American,American,The American Wing,false,false,1798,4935,Mantel
1883,"",French,"",The American Wing,false,false,1830,4954,Medal
1947,"","",American,The American Wing,false,false,1870,4993,Matchsafe
1907,"","","",The American Wing,false,false,1757,5021,Medal
1946,"","",American,The American Wing,false,false,1870,3388,Egg cup
1978,"","",American,The American Wing,false,false,1792,3711,Pocket bottle
1982,"","","",The American Wing,false,false,1840,5435,Whale oil lamp
1983,"",American,American,The American Wing,false,false,1850,5452,Lamp
1985,"","",American,The American Wing,false,false,1850,3922,Plaque
1883,"","","",The American Wing,false,false,1880,3969,Statuette
1913,"",American,American,The American Wing,false,false,1774,4008,Fragment
1946,"",American,American,The American Wing,false,false,1890,4110,Goblet
1949,"","",American,The American Wing,false,false,1800,4322,Hinge
1946,"","",British,The American Wing,false,false,1885,6411,Plate
1910,"","",American,The American Wing,false,false,1860,3004,Curtain knob
1969,"",American,American,The American Wing,false,false,1887,3115,Demitasse cup and saucer
1911,"","",Mexican,The American Wing,false,false,1830,4477,Jar
1918,"","","",The American Wing,false,false,1830,4648,Knocker
1967,"",American,American,The American Wing,false,false,1902,4730,Lamp shade
1956,"","",American,The American Wing,false,false,1810,4887,Looking glass
1892,"","",American,The American Wing,false,false,1858,5117,Medal
1883,"","","",The American Wing,false,false,1859,5137,Plaque
1883,"",French,"",The American Wing,false,false,1800,5158,Medallion
1910,"","",American,The American Wing,false,false,1840,5271,Mug
1933,"",American,American,The American Wing,false,false,1850,5347,Mug
1946,"","",American,The American Wing,false,false,1870,5536,Parfait glass
1933,"",American,American,The American Wing,false,false,1830,5812,Cream pot
1933,"",American,American,The American Wing,false,false,1805,5837,Cream pot
1961,"",American,American,The American Wing,false,false,1886,5841,Pitcher
1946,"","",American,The American Wing,false,false,1870,7847,Spoon holder
1928,"","","Chinese, for American market",The American Wing,false,false,1795,7217,Saucer
1910,"","",American,The American Wing,false,false,1800,8660,Tilt-top tea table
1883,"","",American,The American Wing,false,false,1861,8686,Medal
1883,"","","",The American Wing,false,false,1864,8688,Medal
1933,"",American,American,The American Wing,false,false,1820,8723,Tongs
1969,"",American,American,The American Wing,false,false,1885,6572,Platter
1910,"","","",The American Wing,false,false,1830,6645,Porringer
1913,"",American,American,The American Wing,false,false,1775,8197,Tankard
1933,"",American,American,The American Wing,false,false,1750,8221,Tankard
1933,"",American,American,The American Wing,false,false,1725,8244,Tankard
1963,"",American,American,The American Wing,false,false,1838,8318,Cup and saucer
1910,"","","Chinese, for American market",The American Wing,false,false,1790,6284,Plate
1960,"","","Chinese, for American market",The American Wing,false,false,1866,6337,Plate
1960,"","","Chinese, for American market",The American Wing,false,false,1866,6353,Plate
1946,"","",British,The American Wing,false,false,1810,9220,Vase
1947,"","",American,The American Wing,false,false,1870,9242,Vase
1946,"","",American,The American Wing,false,false,1895,8001,Sugar caster
1987,"",American,American,The American Wing,false,false,1845,9738,Waste Bowl
1937,"","","",The American Wing,false,false,1820,9913,Wine glass
1967,"",American,American,The American Wing,false,false,1867,9934,Wine goblet
1933,"","","",The American Wing,false,false,1800,7462,Shoe buckle
1986,"",American,American,The American Wing,false,false,1876,7538,Sleeve button
"","","",French,The American Wing,false,false,1830,7648,Soup dish
1892,"","","",The American Wing,false,false,1865,7724,Cable
1899,"",American,American,The American Wing,false,false,1883,10262,Drawing
1899,"",American,American,The American Wing,false,false,1897,10281,Drawing
1949,"",American,American,The American Wing,false,false,1857,10371,Painting
1978,"","","",The American Wing,false,false,1900,8870,Trivet
1939,"",American,American,The American Wing,false,false,1769,9059,Tumbler
1946,"",American,American,The American Wing,false,false,1888,9150,Tumbler
1897,"",American,American,The American Wing,false,true,1835,10785,Painting
1917,"",American,American,The American Wing,false,false,1914,10846,Painting
1948,"","",British,The American Wing,false,false,1830,9552,Vase
1971,"","",American or British,The American Wing,false,false,1820,9605,Wall bracket
1930,"",American,American,The American Wing,false,false,1782,9613,Wall clock
1925,"",American,American,The American Wing,false,false,1875,11175,Painting
1896,"",American,American,The American Wing,false,false,1877,11407,Painting
1906,"",American,American,The American Wing,false,false,1876,11411,Painting
1897,"","American, Scottish",American,The American Wing,false,false,1883,11011,Painting
1909,"",American,American,The American Wing,false,false,1873,11123,Painting
1910,"",American,American,The American Wing,false,false,1899,11128,Watercolor
1906,"",American,American,The American Wing,false,false,1900,11853,Painting
1912,Female,American,American,The American Wing,false,false,1907,10510,Painting
1976,"",American,American,The American Wing,false,false,1909,10629,Painting
1958,"",American,American,The American Wing,false,false,1928,10640,Drawing
1950,"",American,American,The American Wing,false,false,1918,12468,Watercolor
1950,"",American,American,The American Wing,false,false,1904,12483,Drawing
1948,"",American,American,The American Wing,false,false,1910,12596,Sculpture
1950,"",American,American,The American Wing,false,false,1880,12177,Drawing
1950,"",American,American,The American Wing,false,false,1876,12241,Drawing
1950,"",American,American,The American Wing,false,false,1891,12263,Drawing
1950,"",American,American,The American Wing,false,false,1869,12411,Watercolor
1933,"",American,American,The American Wing,false,false,1932,11431,Painting
1967,"",American,American,The American Wing,false,false,1880,11586,Painting
1972,"","",American,The American Wing,false,false,1800,13001,Painting
1962,"",American,American,The American Wing,false,false,1732,13057,Painting
1979,"",American,American,The American Wing,false,false,1897,13180,Painting
1990,"",American,American,The American Wing,false,false,1923,13522,Inkwell and tray
1990,"",American,American,The American Wing,false,false,1923,13525,Plaque
1985,"","","American, Shaker",The American Wing,false,false,1930,13711,Hat
1946,"",American,American,The American Wing,false,false,1909,13830,Piece
1973,"",American,American,The American Wing,false,false,1950,13895,Quilt
1883,"",French,American,The American Wing,false,false,1883,12858,Pastel
1907,"",American,American,The American Wing,false,false,1876,14571,Medal
1907,"",American,American,The American Wing,false,false,1899,14572,Medal
1907,"","American, born Lithuania",American,The American Wing,false,false,1899,14591,Medal
1908,"","American, born Lithuania",American,The American Wing,false,false,1907,14626,Medal
1909,"",American,American,The American Wing,false,false,1892,14673,Medal
1914,"",American,American,The American Wing,false,false,1914,14718,Medal
1939,"","",American,The American Wing,false,false,1939,14785,Medal
1994,"","American, born Germany",American,The American Wing,false,false,1765,14870,Stove plate
1987,"",American,American,The American Wing,false,false,1839,14897,Drawing
1915,"",American,American,The American Wing,false,false,1915,12456,Painting
1983,"","","",The American Wing,false,false,1860,14241,Drawer pull
1991,"",American,American,The American Wing,false,true,1955,14323,Piece
1991,"","",British,The American Wing,false,false,1765,14374,Wall pocket
1992,"",American,American,The American Wing,false,false,1884,14442,Stained glass window
1904,"","American, born Lithuania",American,The American Wing,false,false,1903,14540,Medal
2006,"",American,American,The American Wing,false,false,1811,15119,"Painting, miniature"
1992,"",American,American,The American Wing,false,false,1886,15351,Drawing
1928,"",American,American,The American Wing,false,true,1900,14004,Sample
1928,"",American,American,The American Wing,false,false,1900,14021,Sample
1996,"","",American,The American Wing,false,false,1840,15597,Armchair
1950,"",American,American,The American Wing,false,false,1925,15664,Drawing
1995,"",American,American,The American Wing,false,false,1890,15772,Drawing
1950,"",American,American,The American Wing,false,false,1904,16074,Watercolor
1933,"",American,American,The American Wing,false,false,1886,16216,Drawing
1953,"",American,American,The American Wing,false,false,1820,16460,Drawing
1967,"",American,American,The American Wing,false,false,1910,16463,Drawing
1967,"",American,American,The American Wing,false,false,1910,16468,Drawing
1999,"",American,American,The American Wing,false,false,1955,16680,Fabric sample book
1973,"",American,American,The American Wing,false,false,1919,14938,Drawing
1926,"","",American,The American Wing,false,false,1864,14964,Drawing
1999,"",American,American,The American Wing,false,false,1905,16756,Vase
2000,"",American,American,The American Wing,false,false,1878,16804,Locket
2001,"",American,American,The American Wing,false,false,1840,16948,Bracelet
2001,"",American,American,The American Wing,false,false,1937,17016,Painting
1928,"",American,American,The American Wing,false,false,1926,19279,Drawing
2014,"",American,American,The American Wing,false,false,1908,19007,Armchair
2005,"",American,American,The American Wing,false,false,1808,19089,Beaker
1987,"","",American,The American Wing,false,false,1912,19112,Drawing
1984,"",American,American,The American Wing,false,false,1921,19250,Painting
1967,"",American,American,The American Wing,false,false,1930,17311,Drawing
2002,"","American, born England",American,The American Wing,false,false,1873,17362,Drawing
1967,"",American,American,The American Wing,false,false,1918,17407,Drawing
1967,"",American,American,The American Wing,false,false,1930,17429,Drawing
2002,Female,American,American,The American Wing,false,false,1821,17518,Sampler
2018,"","",American,The American Wing,false,false,1892,19856,Vase
2018,"","",American,The American Wing,false,false,1921,19972,Vase
2021,"","American, born Russian Empire [now Ukraine]",American,The American Wing,false,false,1929,19994,Railing
2008,"",American,British,The American Wing,false,false,1818,20229,Claret
2018,"",American,American,The American Wing,false,false,1916,20283,Plaque
1980,"","",American,The American Wing,false,false,1888,20429,Handkerchief
1929,"","",German or Austrian,Arms and Armor,false,false,1525,23274,Mitten gauntlet for the left hand
1904,"","",Japanese,Arms and Armor,false,false,1700,22031,Half mask with gorget
1914,"",Austrian,"Austrian, Innsbruck",Arms and Armor,false,false,1540,22285,Armored skirt (base)
1936,"","",Japanese,Arms and Armor,false,false,1850,23841,Bowstring
1891,"","",Japanese,Arms and Armor,false,false,1900,21860,Blade and mounting for a dagger (Tantō)
1925,"","","Central or Eastern European, possibly Vienna",Arms and Armor,false,false,1489,22878,Crossbow
1927,"",Spanish,"Spanish, Madrid",Arms and Armor,false,false,1765,22985,Pair of pistols
